CPU	Núcleos	Processadores	Dimensões da variável independente	Dimensões da variável dependente	Conjunto de treinamento	Conjunto de teste	Threads	Tempo gasto	RMSE
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	409.551683	0.014674
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	412.134863	0.014674
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	403.937081	0.014674
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	407.316294	0.014674
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	404.011427	0.014674
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	405.951073	0.014674
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	405.390260	0.014674
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	409.049703	0.014674
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	401.182141	0.014674
Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz	10	40	2	1	1000000	8192	2	411.549608	0.014674
